No,Client,Période,Date émission,Heures,Taux,Sous-total,TPS,TVQ,Total,Fichier
1,"Soudures Rivard","16–30 Avri. 2026","30 avril 2026",39.25,100,"3 925,00 $","0,00 $","0,00 $","3 925,00 $","Soudures Rivard - 04-30-2026 - Invoice 1.pdf"
2,"Soudures Rivard","1–15 Mai. 2026","19 mai 2026",32.5,100,"3 250,00 $","0,00 $","0,00 $","3 250,00 $","Soudures Rivard - 05-15-2026 - Invoice 2.pdf"
3,"Soudures Rivard","16–31 Mai. 2026","1 juin 2026",36.75,100,"3 675,00 $","183,75 $","366,58 $","4 225,33 $","Soudures Rivard - 05-31-2026 - Invoice 3.pdf"
4,"Soudures Rivard","1–15 Juin. 2026","15 juin 2026",62.5,100,"6 250,00 $","312,50 $","623,44 $","7 185,94 $","Soudures Rivard - 06-15-2026 - Invoice 4.pdf"
5,"Soudures Rivard","16–30 Juin. 2026","2 juillet 2026",21,100,"2 100,00 $","105,00 $","209,48 $","2 414,48 $","Soudures Rivard - 06-30-2026 - Invoice 5.pdf"
6,"Soudures Rivard","1–15 Juil. 2026","16 juillet 2026",23,100,"2 300,00 $","115,00 $","229,43 $","2 644,43 $","Soudures Rivard - 07-15-2026 - Invoice 6.pdf"
